Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Chandigarh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,35.0,59,11670864.0,16002635
Chhattisgarh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,47.0,130,4973985.0,16808504
Dadra & Nagar Haveli,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,5.0,30,3698350.0,53254433
Daman & Diu,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,9,577500.0,5017655
Delhi,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,162.0,442,21473070.0,147797958
Goa,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9.0,25,3928190.0,6906420
Gujarat,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,567.0,1118,30433157.0,635317912
Haryana,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,601.0,685,77297743.0,122768355
Himachal Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16.0,123,2296611.0,40419057
Jammu & Kashmir,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,28.0,121,13125437.0,24202050
Jharkhand,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,15.0,292,328065.0,9902369
Karnataka,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,116.0,378,20579025.0,91306788
Kerala,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37.0,243,4237380.0,698169929
Lakshadweep,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
Madhya Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,217.0,362,8046499.0,41386099
Maharashtra,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,902.0,1643,114074650.0,1614797474
Manipur,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,32,120400.0,30743668
Meghalaya,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1.0,16,2500000.0,8955200
Mizoram,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,15.0,27,1259207.0,5436475
Nagaland,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9.0,16,2104007.0,3110618
Odisha,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,74.0,272,2784237.0,13541445
Puducherry,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4.0,6,12525000.0,12645000
Punjab,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,243.0,274,82015692.0,113718753
Rajasthan,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,136.0,226,1406500.0,1723542
Sikkim,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,10,0.0,2083734
Tamil Nadu,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,43.0,131,5829862.0,55595961
Tripura,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4.0,23,372206.0,3520240
Uttar Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,284.0,599,22854450.0,32401924
Uttarakhand,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
West Bengal,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,243.0,519,18904822.0,77997962
Andaman & Nicobar Islands,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,7,0.0,1477118
Andhra Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,53.0,278,10588289.0,63766044
Arunachal Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,17.0,41,3274206.0,51346151
Assam,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,56.0,653,1581103.0,34040085
Bihar,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,26.0,1309,1318034.0,14712214
Chandigarh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16.0,38,1915510.0,3058877
Chhattisgarh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,54.0,140,10931853.0,30978819
Dadra & Nagar Haveli,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9.0,17,30213260.0,42084478
Daman & Diu,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,5,1100000.0,1625025
Delhi,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,167.0,451,9096680.0,124954720
Goa,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7.0,25,1192650.0,26805017
Gujarat,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,545.0,987,40665503.0,435121121
Haryana,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,585.0,676,94736133.0,118459813
Himachal Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10.0,104,1583229.0,30067323
Jammu & Kashmir,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,30.0,58,11345485.0,67056704
Jharkhand,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,19.0,207,350756.0,6259336
Karnataka,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,89.0,320,10670130.0,82460451
Kerala,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,18.0,298,1955592.0,109496116
Lakshadweep,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
Madhya Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,264.0,392,19174548.0,30867694
Maharashtra,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,861.0,1621,176923736.0,2011980786
Manipur,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,19,0.0,7601968
Meghalaya,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,16,1200.0,92850
Mizoram,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7.0,19,81286.0,941761
Nagaland,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4.0,11,473000.0,7192980
Odisha,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,107.0,319,2712285.0,15837475
Puducherry,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,6,398673.0,1341010
Punjab,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,290.0,313,165365440.0,190473006
Rajasthan,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,181.0,320,7392870.0,7846390
Sikkim,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,7,0.0,2076769
Tamil Nadu,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,118.0,256,8750943.0,94743212
Tripura,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,11.0,42,75000.0,9839599
Uttar Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,900.0,1566,40964993.0,79013060
Uttarakhand,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
West Bengal,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,228.0,669,17147075.0,86764866
Andaman & Nicobar Islands,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4.0,12,62169.0,4331562
Andhra Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,109.0,329,10702595.0,76445367
Arunachal Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14.0,43,9690740.0,23736222
Assam,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,114.0,680,5186080.0,44107861
Bihar,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,94.0,1352,1290244.0,19375909
Chandigarh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16.0,37,10373722.0,18228424
Chhattisgarh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,50.0,146,17199111.0,49003223
Dadra & Nagar Haveli,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6.0,10,4640633.0,17271204
Daman & Diu,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,4,0.0,14367990
Delhi,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,100.0,355,2512000.0,66787480
Goa,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6.0,40,3261600.0,18853727
Gujarat,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,482.0,917,56003381.0,787400659
Haryana,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,537.0,763,63587887.0,100913081
Himachal Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14.0,109,3011299.0,21016747
Jammu & Kashmir,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,25,382280.0,3802280
Jharkhand,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14.0,155,485200.0,15173235
Karnataka,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,122.0,360,60994188.0,289353089
Kerala,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,21.0,319,8165098.0,961553395
Lakshadweep,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
Madhya Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,312.0,450,13761605.0,84903306
Maharashtra,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,876.0,1761,152911595.0,3442732203
Manipur,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,24,605000.0,9553041
Meghalaya,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8.0,28,826134.0,5101968
Mizoram,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,19.0,28,1240552.0,2217536
Nagaland,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,16,0.0,6766575
Odisha,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,80.0,278,27628493.0,49900708
Puducherry,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3.0,13,145000.0,3131550
Punjab,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,218.0,236,75269656.0,97579635
Rajasthan,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,162.0,255,2795982.0,3245982
Sikkim,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,6,0.0,155267306
Tamil Nadu,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,75.0,183,12312213.0,43763705
Tripura,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9.0,42,70300.0,17060133
Uttar Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1095.0,2008,60772740.0,170207541
Uttarakhand,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
West Bengal,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,274.0,853,28559906.0,122133036
Andaman & Nicobar Islands,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,7,0.0,187903
Andhra Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,160.0,466,38183752.0,152390321
Arunachal Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14.0,38,3314510.0,44973410
Assam,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,39.0,802,3101060.0,39718582
Bihar,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37.0,1186,3445872.0,20075889
Chandigarh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,12.0,38,1368760.0,4296050
Chhattisgarh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,63.0,166,9361355.0,22868913
Dadra & Nagar Haveli,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9.0,17,4264187.0,12792400
Daman & Diu,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1.0,6,1045655.0,2845270
Delhi,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,106.0,333,26063598.0,168282309
Goa,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14.0,46,2029444.0,500734226
Gujarat,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,450.0,987,126189464.0,1021824056
Haryana,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,577.0,761,95125041.0,120410728
Himachal Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16.0,88,3410288.0,22831778
Jammu & Kashmir,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16.0,36,4537375.0,10224702
Jharkhand,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,47.0,442,1363825.0,15951445
Karnataka,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,97.0,389,13716945.0,865928132
Kerala,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,29.0,254,2023388.0,141278899
Lakshadweep,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
Madhya Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,317.0,437,19209976.0,51747531
Maharashtra,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,918.0,1735,142506516.0,1483178194
Manipur,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,19,0.0,3231900
Meghalaya,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3.0,26,713000.0,7415545
Mizoram,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,13.0,30,769912.0,2251157
Nagaland,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1.0,6,70000.0,9818350
Odisha,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,39.0,175,1126618.0,20650331
Puducherry,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3.0,7,1049380.0,4457373
Punjab,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,200.0,222,62133278.0,86931962
Rajasthan,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,208.0,295,2634820.0,3126218
Sikkim,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,4,0.0,3783404
Tamil Nadu,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,68.0,205,25609109.0,99223177
Tripura,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,46.0,52,28000.0,17838570
Uttar Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,493.0,1176,21525323.0,48400340
Uttarakhand,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
West Bengal,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,307.0,896,30082932.0,151298531
Andaman & Nicobar Islands,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,10,147644.0,530144
Andhra Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,113.0,417,15315562.0,101817765
Arunachal Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,20.0,59,19048720.0,114314139
Assam,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,41.0,992,1646451.0,27018001
Bihar,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,35.0,1071,464781.0,13148146
Chandigarh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,5.0,23,280000.0,1356000
Chhattisgarh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,77.0,196,10460322.0,37444239
Dadra & Nagar Haveli,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7.0,12,1292551.0,4846741
Daman & Diu,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1.0,4,10000.0,149000
Delhi,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,80.0,273,7227255.0,71945074
Goa,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,22.0,45,3744000.0,16153977
Gujarat,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,406.0,997,72558586.0,757466843
Haryana,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,496.0,743,207754960.0,244175753
Himachal Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9.0,71,452838.0,21774893
Jammu & Kashmir,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14.0,36,3364800.0,14738800
Jharkhand,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,147.0,399,2266675.0,217344840
Karnataka,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,183.0,380,4313888.0,120010848
Kerala,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,44.0,264,5789528.0,482166623
Lakshadweep,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
Madhya Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,234.0,371,32067682.0,105352477
Maharashtra,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1096.0,1812,320011695.0,12140905176
Manipur,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,24,0.0,20531604
Meghalaya,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3.0,32,164000.0,4772930
Mizoram,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,22.0,25,1961256.0,2130191
Nagaland,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2.0,13,143000.0,1226000
Odisha,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,68.0,239,14004461.0,50822458
Puducherry,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9.0,12,656643.0,3107999
Punjab,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,214.0,227,22781243.0,87496183
Rajasthan,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,191.0,241,1580000.0,1790000
Sikkim,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,1,0.0,798634
Tamil Nadu,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,49.0,156,10621862.0,375413547
Tripura,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,39.0,44,1205162.0,10908627
Uttar Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,293.0,864,39895913.0,65056558
Uttarakhand,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0.0,0,0.0,0
West Bengal,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,202.0,997,285664678.0,1065026502
Andaman & Nicobar Islands,2001,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Andhra Pradesh,2001,Dacoity -Property,1. Dacoity,95.0,203,12616493.0,29127698
Arunachal Pradesh,2001,Dacoity -Property,1. Dacoity,6.0,22,401326.0,5967868
Assam,2001,Dacoity -Property,1. Dacoity,116.0,532,4451846.0,15912145
Bihar,2001,Dacoity -Property,1. Dacoity,234.0,1290,8297831.0,66513191
Chandigarh,2001,Dacoity -Property,1. Dacoity,4.0,5,30000.0,92000
Chhattisgarh,2001,Dacoity -Property,1. Dacoity,60.0,87,2365213.0,5919328
Dadra & Nagar Haveli,2001,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Daman & Diu,2001,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Delhi,2001,Dacoity -Property,1. Dacoity,29.0,48,2987000.0,13217200
Goa,2001,Dacoity -Property,1. Dacoity,3.0,7,131427.0,524127
Gujarat,2001,Dacoity -Property,1. Dacoity,170.0,313,18828557.0,62407290
Haryana,2001,Dacoity -Property,1. Dacoity,57.0,76,15431491.0,20468041
Himachal Pradesh,2001,Dacoity -Property,1. Dacoity,2.0,4,429000.0,537290
Jammu & Kashmir,2001,Dacoity -Property,1. Dacoity,3.0,24,327310.0,1487230
Jharkhand,2001,Dacoity -Property,1. Dacoity,83.0,503,2518508.0,18069915
Karnataka,2001,Dacoity -Property,1. Dacoity,92.0,178,12023070.0,21450275
Kerala,2001,Dacoity -Property,1. Dacoity,49.0,140,2727221.0,13092195
Lakshadweep,2001,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Madhya Pradesh,2001,Dacoity -Property,1. Dacoity,102.0,166,10217136.0,15251872
Maharashtra,2001,Dacoity -Property,1. Dacoity,339.0,523,41798247.0,106628247
Manipur,2001,Dacoity -Property,1. Dacoity,1.0,20,300000.0,1816150
Meghalaya,2001,Dacoity -Property,1. Dacoity,18.0,96,560400.0,3658884
Mizoram,2001,Dacoity -Property,1. Dacoity,0.0,2,0.0,47905
Nagaland,2001,Dacoity -Property,1. Dacoity,2.0,9,350000.0,813525
Odisha,2001,Dacoity -Property,1. Dacoity,106.0,195,4320190.0,26153628
Puducherry,2001,Dacoity -Property,1. Dacoity,1.0,1,100000.0,120000
Punjab,2001,Dacoity -Property,1. Dacoity,22.0,45,425270.0,47908083
Rajasthan,2001,Dacoity -Property,1. Dacoity,36.0,55,7760601.0,8923097
Sikkim,2001,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Tamil Nadu,2001,Dacoity -Property,1. Dacoity,99.0,158,30479581.0,38995184
Tripura,2001,Dacoity -Property,1. Dacoity,7.0,26,60600.0,2431615
Uttar Pradesh,2001,Dacoity -Property,1. Dacoity,315.0,622,27488107.0,58683161
Uttarakhand,2001,Dacoity -Property,1. Dacoity,9.0,32,779995.0,5557695
West Bengal,2001,Dacoity -Property,1. Dacoity,99.0,274,12601382.0,28536019
Andaman & Nicobar Islands,2002,Dacoity -Property,1. Dacoity,1.0,1,50000.0,50000
Andhra Pradesh,2002,Dacoity -Property,1. Dacoity,100.0,193,13183547.0,24840635
Arunachal Pradesh,2002,Dacoity -Property,1. Dacoity,4.0,22,982350.0,3646342
Assam,2002,Dacoity -Property,1. Dacoity,90.0,473,2555266.0,14499405
Bihar,2002,Dacoity -Property,1. Dacoity,187.0,1289,7949064.0,61081240
Chandigarh,2002,Dacoity -Property,1. Dacoity,1.0,1,23200.0,23200
Chhattisgarh,2002,Dacoity -Property,1. Dacoity,43.0,144,3018162.0,15449856
Dadra & Nagar Haveli,2002,Dacoity -Property,1. Dacoity,0.0,1,0.0,46650
Daman & Diu,2002,Dacoity -Property,1. Dacoity,1.0,2,500000.0,537000
Delhi,2002,Dacoity -Property,1. Dacoity,42.0,47,1300570.0,5229300
Goa,2002,Dacoity -Property,1. Dacoity,2.0,5,555300.0,1083300
Gujarat,2002,Dacoity -Property,1. Dacoity,407.0,777,16788842.0,1384990691
Haryana,2002,Dacoity -Property,1. Dacoity,46.0,61,17158072.0,19640230
Himachal Pradesh,2002,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Jammu & Kashmir,2002,Dacoity -Property,1. Dacoity,4.0,42,177050.0,2244303
Jharkhand,2002,Dacoity -Property,1. Dacoity,150.0,580,5804271.0,26053033
Karnataka,2002,Dacoity -Property,1. Dacoity,80.0,178,18525551.0,35793263
Kerala,2002,Dacoity -Property,1. Dacoity,44.0,125,10644120.0,19804550
Lakshadweep,2002,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Madhya Pradesh,2002,Dacoity -Property,1. Dacoity,92.0,136,18864346.0,25945213
Maharashtra,2002,Dacoity -Property,1. Dacoity,325.0,542,40618698.0,118901569
Manipur,2002,Dacoity -Property,1. Dacoity,0.0,3,0.0,12000
Meghalaya,2002,Dacoity -Property,1. Dacoity,11.0,64,1109119.0,4230859
Mizoram,2002,Dacoity -Property,1. Dacoity,1.0,5,1500.0,123250
Nagaland,2002,Dacoity -Property,1. Dacoity,3.0,15,181450.0,995313
Odisha,2002,Dacoity -Property,1. Dacoity,105.0,230,7732281.0,17657983
Puducherry,2002,Dacoity -Property,1. Dacoity,2.0,2,155000.0,155000
Punjab,2002,Dacoity -Property,1. Dacoity,32.0,50,1424985.0,6515666
Rajasthan,2002,Dacoity -Property,1. Dacoity,29.0,45,5620400.0,8649970
Sikkim,2002,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Tamil Nadu,2002,Dacoity -Property,1. Dacoity,142.0,174,37628968.0,45798255
Tripura,2002,Dacoity -Property,1. Dacoity,7.0,29,185100.0,3067325
Uttar Pradesh,2002,Dacoity -Property,1. Dacoity,200.0,327,14476770.0,29712101
Uttarakhand,2002,Dacoity -Property,1. Dacoity,15.0,25,1565980.0,3389600
West Bengal,2002,Dacoity -Property,1. Dacoity,104.0,204,10394269.0,26009156
Andaman & Nicobar Islands,2003,Dacoity -Property,1. Dacoity,1.0,2,7000.0,107000
Andhra Pradesh,2003,Dacoity -Property,1. Dacoity,94.0,173,13612142.0,42850011
Arunachal Pradesh,2003,Dacoity -Property,1. Dacoity,8.0,37,250518.0,2239914
Assam,2003,Dacoity -Property,1. Dacoity,83.0,471,4478050.0,17473511
Bihar,2003,Dacoity -Property,1. Dacoity,161.0,1221,5851830.0,51817939
Chandigarh,2003,Dacoity -Property,1. Dacoity,3.0,3,10884.0,15200
Chhattisgarh,2003,Dacoity -Property,1. Dacoity,41.0,140,1469483.0,10207530
Dadra & Nagar Haveli,2003,Dacoity -Property,1. Dacoity,1.0,4,10000.0,39070
Daman & Diu,2003,Dacoity -Property,1. Dacoity,2.0,4,1000000.0,4343009
Delhi,2003,Dacoity -Property,1. Dacoity,27.0,28,4305000.0,8921500
Goa,2003,Dacoity -Property,1. Dacoity,1.0,4,255000.0,1303000
Gujarat,2003,Dacoity -Property,1. Dacoity,150.0,330,26943119.0,58594806
Haryana,2003,Dacoity -Property,1. Dacoity,51.0,63,14729050.0,21710332
Himachal Pradesh,2003,Dacoity -Property,1. Dacoity,4.0,8,475820.0,830345
Jammu & Kashmir,2003,Dacoity -Property,1. Dacoity,4.0,23,5042200.0,5558150
Jharkhand,2003,Dacoity -Property,1. Dacoity,156.0,682,6082015.0,20784181
Karnataka,2003,Dacoity -Property,1. Dacoity,138.0,220,14506929.0,29322654
Kerala,2003,Dacoity -Property,1. Dacoity,58.0,118,10501066.0,25952178
Lakshadweep,2003,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Madhya Pradesh,2003,Dacoity -Property,1. Dacoity,104.0,153,13662972.0,22843695
Maharashtra,2003,Dacoity -Property,1. Dacoity,288.0,504,32601902.0,87681725
Manipur,2003,Dacoity -Property,1. Dacoity,1.0,3,125000.0,150000
Meghalaya,2003,Dacoity -Property,1. Dacoity,5.0,83,150100.0,9269997
Mizoram,2003,Dacoity -Property,1. Dacoity,1.0,5,1500.0,392265
Nagaland,2003,Dacoity -Property,1. Dacoity,3.0,19,517000.0,2145059
Odisha,2003,Dacoity -Property,1. Dacoity,102.0,176,3789657.0,12644032
Puducherry,2003,Dacoity -Property,1. Dacoity,2.0,2,62700.0,521700
Punjab,2003,Dacoity -Property,1. Dacoity,23.0,30,1323700.0,4622716
Rajasthan,2003,Dacoity -Property,1. Dacoity,22.0,34,4751260.0,6824233
Sikkim,2003,Dacoity -Property,1. Dacoity,1.0,2,34500.0,121500
Tamil Nadu,2003,Dacoity -Property,1. Dacoity,85.0,95,76487971.0,79302069
Tripura,2003,Dacoity -Property,1. Dacoity,6.0,36,165200.0,2699536
Uttar Pradesh,2003,Dacoity -Property,1. Dacoity,148.0,227,19351305.0,51675947
Uttarakhand,2003,Dacoity -Property,1. Dacoity,14.0,18,128500.0,2322859
West Bengal,2003,Dacoity -Property,1. Dacoity,106.0,217,12959732.0,39431740
Andaman & Nicobar Islands,2004,Dacoity -Property,1. Dacoity,0.0,0,0.0,0
Andhra Pradesh,2004,Dacoity -Property,1. Dacoity,82.0,152,9771450.0,17206064
Arunachal Pradesh,2004,Dacoity -Property,1. Dacoity,4.0,30,762200.0,4350673
